,Node1,Node2,Score
0,"Assign(targets=[Name(id='ans', ctx=Store())], value=Num(n=1))",Num(n=1),0.13043478260869568
1,"Call(func=Name(id='range', ctx=Load()), args=[Name(id='T', ctx=Load())], keywords=[], starargs=None, kwargs=None)","Name(id='T', ctx=Load())",0.13043478260869568
2,"Call(func=Name(id='enumerate', ctx=Load()), args=[Name(id='s', ctx=Load())], keywords=[], starargs=None, kwargs=None)","Name(id='enumerate', ctx=Load())",0.13043478260869568
3,"Call(func=Name(id='gcd', ctx=Load()), args=[Name(id='p', ctx=Load()), Name(id='q', ctx=Load())], keywords=[], starargs=None, kwargs=None)","Name(id='p', ctx=Load())",0.13043478260869568
4,"Index(value=Name(id='j', ctx=Load()))","Name(id='j', ctx=Load())",0.13043478260869568
5,"Name(id='S', ctx=Load())",Load(),0.13043478260869568
6,"Name(id='ans', ctx=Store())",Store(),0.13043478260869568
7,"Name(id='r', ctx=Store())",Store(),0.11956521739130443
8,"Name(id='result', ctx=Store())",Store(),0.11956521739130443
9,"Name(id='index', ctx=Load())",Load(),0.11956521739130443
10,"Call(func=Name(id='set', ctx=Load()), args=[], keywords=[], starargs=None, kwargs=None)","Name(id='set', ctx=Load())",0.11956521739130443
11,"Name(id='solve', ctx=Load())",Load(),0.11956521739130443
12,"Name(id='debug', ctx=Load())",Load(),0.11956521739130443
13,"Subscript(value=Name(id='s', ctx=Load()), slice=Index(value=Num(n=0)), ctx=Load())",Index(value=Num(n=0)),0.11956521739130432
14,"Name(id='range', ctx=Load())",Load(),0.11956521739130432
15,"Index(value=Name(id='i', ctx=Load()))","Name(id='i', ctx=Load())",0.11956521739130432
16,"Assign(targets=[Name(id='T', ctx=Store())], value=Call(func=Name(id='int', ctx=Load()), args=[Call(func=Attribute(value=Name(id='f', ctx=Load()), attr='readline', ctx=Load()), args=[], keywords=[], starargs=None, kwargs=None)], keywords=[], starargs=None, kwargs=None))","Call(func=Name(id='int', ctx=Load()), args=[Call(func=Attribute(value=Name(id='f', ctx=Load()), attr='readline', ctx=Load()), args=[], keywords=[], starargs=None, kwargs=None)], keywords=[], starargs=None, kwargs=None)",0.11956521739130432
17,"Name(id='log', ctx=Load())",Load(),0.11956521739130432
18,"Index(value=Name(id='c', ctx=Load()))","Name(id='c', ctx=Load())",0.10869565217391308
19,"Subscript(value=Name(id='x', ctx=Load()), slice=Index(value=Num(n=0)), ctx=Load())",Index(value=Num(n=0)),0.10869565217391308
20,"Index(value=Name(id='t', ctx=Load()))","Name(id='t', ctx=Load())",0.10869565217391308
21,"Name(id='M', ctx=Store())",Store(),0.10869565217391308
22,"Name(id='cur', ctx=Load())",Load(),0.10869565217391308
23,"Subscript(value=Name(id='a', ctx=Load()), slice=Index(value=Name(id='i', ctx=Load())), ctx=Load())","Index(value=Name(id='i', ctx=Load()))",0.10869565217391308
24,"Assign(targets=[Name(id='ans', ctx=Store())], value=Num(n=0))","Name(id='ans', ctx=Store())",0.10869565217391308
25,"BinOp(left=Name(id='a', ctx=Load()), op=BitAnd(), right=Name(id='b', ctx=Load()))","Name(id='b', ctx=Load())",0.10869565217391308
26,"Name(id='_', ctx=Store())",Store(),0.10869565217391308
27,"Name(id='xrange', ctx=Load())",Load(),0.10869565217391308
28,"Name(id='abs', ctx=Load())",Load(),0.10869565217391308
29,"Name(id='r2', ctx=Load())",Load(),0.10869565217391308
30,"Assign(targets=[Name(id='j', ctx=Store())], value=Num(n=0))","Name(id='j', ctx=Store())",0.10869565217391308
31,"Name(id='arr2', ctx=Store())",Store(),0.10869565217391308
32,"Call(func=Name(id='range', ctx=Load()), args=[Name(id='A', ctx=Load())], keywords=[], starargs=None, kwargs=None)","Name(id='A', ctx=Load())",0.10869565217391308
33,"Name(id='infile', ctx=Load())",Load(),0.10869565217391308
34,"Name(id='B', ctx=Param())",Param(),0.10869565217391308
35,"Slice(lower=Name(id='i', ctx=Load()), upper=None, step=None)","Name(id='i', ctx=Load())",0.10869565217391308
36,"Call(func=Name(id='range', ctx=Load()), args=[Name(id='N', ctx=Load())], keywords=[], starargs=None, kwargs=None)","Name(id='N', ctx=Load())",0.10869565217391308
37,"Call(func=Name(id='range', ctx=Load()), args=[Name(id='n', ctx=Load())], keywords=[], starargs=None, kwargs=None)","Name(id='range', ctx=Load())",0.10869565217391308
38,"Attribute(value=Name(id='l', ctx=Load()), attr='append', ctx=Load())",Load(),0.10869565217391308
39,"Import(names=[alias(name='math', asname=None)])","alias(name='math', asname=None)",0.10869565217391308
40,"Tuple(elts=[Name(id='i', ctx=Store()), Name(id='s', ctx=Store())], ctx=Store())",Store(),0.10869565217391297
41,"Name(id='s', ctx=Store())",Store(),0.09782608695652184
