,Node1,Node2,Score
0,"Subscript(value=Name(id='s', ctx=Load()), slice=Index(value=Num(n=0)), ctx=Load())",Index(value=Num(n=0)),0.23913043478260865
1,"Name(id='bin', ctx=Load())",Load(),0.17391304347826086
2,"Name(id='mean', ctx=Load())",Load(),0.17391304347826086
3,"arguments(args=[Name(id='strings', ctx=Param())], vararg=None, kwarg=None, defaults=[])","Name(id='strings', ctx=Param())",0.17391304347826086
4,"ImportFrom(module='sys', names=[alias(name='stdin', asname=None)], level=0)","alias(name='stdin', asname=None)",0.17391304347826086
5,"Name(id='abs', ctx=Load())",Load(),0.16304347826086962
6,"arguments(args=[Name(id='a', ctx=Param()), Name(id='b', ctx=Param()), Name(id='k', ctx=Param())], vararg=None, kwarg=None, defaults=[])","Name(id='b', ctx=Param())",0.16304347826086962
7,"Compare(left=Call(func=Name(id='len', ctx=Load()), args=[Name(id='possible', ctx=Load())], keywords=[], starargs=None, kwargs=None), ops=[Gt()], comparators=[Num(n=1)])","Call(func=Name(id='len', ctx=Load()), args=[Name(id='possible', ctx=Load())], keywords=[], starargs=None, kwargs=None)",0.16304347826086962
8,"Call(func=Name(id='range', ctx=Load()), args=[Name(id='a', ctx=Load())], keywords=[], starargs=None, kwargs=None)","Name(id='range', ctx=Load())",0.16304347826086962
9,"Name(id='temp', ctx=Load())",Load(),0.1630434782608695
10,"Name(id='Q', ctx=Store())",Store(),0.1630434782608695
11,"Name(id='set', ctx=Load())",Load(),0.1630434782608695
12,"Import(names=[alias(name='sys', asname=None)])","alias(name='sys', asname=None)",0.1630434782608695
13,"Name(id='strings', ctx=Load())",Load(),0.1630434782608695
14,"Compare(left=BinOp(left=Name(id='q', ctx=Load()), op=Mod(), right=Num(n=2)), ops=[NotEq()], comparators=[Num(n=0)])","BinOp(left=Name(id='q', ctx=Load()), op=Mod(), right=Num(n=2))",0.1630434782608695
15,Return(value=Num(n=1)),Num(n=1),0.1630434782608695
16,"Name(id='j', ctx=Load())",Load(),0.1630434782608695
17,"arguments(args=[Name(id='word', ctx=Param())], vararg=None, kwarg=None, defaults=[])","Name(id='word', ctx=Param())",0.15217391304347827
18,"BinOp(left=Name(id='i', ctx=Load()), op=Add(), right=Num(n=1))",Add(),0.15217391304347827
19,"BinOp(left=Name(id='n', ctx=Load()), op=Add(), right=Num(n=1))",Num(n=1),0.15217391304347827
20,"Name(id='k', ctx=Load())",Load(),0.15217391304347827
21,"Index(value=Name(id='k', ctx=Load()))","Name(id='k', ctx=Load())",0.15217391304347827
22,"BinOp(left=Num(n=2), op=Pow(), right=Num(n=40))",Num(n=2),0.15217391304347827
23,"Call(func=Name(id='xrange', ctx=Load()), args=[Name(id='N', ctx=Load())], keywords=[], starargs=None, kwargs=None)","Name(id='xrange', ctx=Load())",0.15217391304347827
24,"arguments(args=[Name(id='P', ctx=Param()), Name(id='Q', ctx=Param())], vararg=None, kwarg=None, defaults=[])","Name(id='P', ctx=Param())",0.15217391304347827
25,"Name(id='object', ctx=Load())",Load(),0.15217391304347827
26,"BinOp(left=Name(id='q', ctx=Load()), op=Mod(), right=Name(id='p', ctx=Load()))","Name(id='p', ctx=Load())",0.15217391304347816
27,"Name(id='r', ctx=Load())",Load(),0.14130434782608703
28,"Name(id='l', ctx=Store())",Store(),0.14130434782608703
29,"Name(id='str', ctx=Load())",Load(),0.14130434782608703
30,"BinOp(left=Name(id='n', ctx=Load()), op=Mod(), right=Num(n=2))","Name(id='n', ctx=Load())",0.14130434782608703
31,"Name(id='gen', ctx=Store())",Store(),0.14130434782608703
